alg	C	Cn	Crob	CrobScaled
Spectral	1	1	0	0
Spectral	2	157	0.0231479255103708	0.482634555777347
Spectral	3	2	0.0279503	0.582764127969042
Spectral	4	64	0.0239515010416666	0.499389116327783
Spectral	5	132	0.0241371337739996	0.503259561274012
Spectral	6	1	0	0
Spectral	7	289	0.0242407509174348	0.505419980097303
Spectral	8	1	0	0
Spectral	9	1	0	0
Spectral	10	21	0.0244743446190476	0.510290411893007
Spectral	11	334	0.0238525825004035	0.497326663422477
Spectral	12	2	0.030303	0.631817954363491
Spectral	13	1	0	0
Spectral	14	3	0.0278270666666667	0.580194711324615
Spectral	15	70	0.0244472445507246	0.509725375106848
Spectral	16	180	0.0233208840775918	0.486240744211865
Spectral	17	3	0.0180841333333333	0.37705442131483
Spectral	18	37	0.0233683704354354	0.487230835406564
Spectral	19	222	0.0229927924332477	0.479400029049233
Spectral	20	69	0.0237744239002557	0.495697055566447
Spectral	21	21	0.0244361517142857	0.509494089319074
Spectral	22	18	0.0251103064705882	0.523550224983909
Spectral	23	2	0.0131926	0.275065886042167
Spectral	24	72	0.0235256205868545	0.490509503161998
Spectral	25	137	0.0235299665221127	0.490600115970124
Spectral	26	30	0.0246529516551724	0.514014370979543
Spectral	27	453	0.0241121678912462	0.502739022285458
Spectral	28	37	0.0239307031531531	0.49895548007475
Spectral	29	2	0.0283505	0.591108303309314
Spectral	30	1	0	0
Spectral	31	1	0	0
Spectral	32	1	0	0
Spectral	33	5	0.02590481	0.540115634174006
Spectral	34	1	0	0
Spectral	35	1	0	0
Spectral	36	1	0	0
Spectral	37	1	0	0
Spectral	38	1	0	0
Spectral	39	2	0.0479616	1
Spectral	40	1	0	0
Spectral	41	25	0.0239609598666667	0.499586332955253
Spectral	42	69	0.0235278136061381	0.490555227643324
Spectral	43	287	0.0244869101476563	0.510552403332172
Spectral	44	3	0.0398777	0.831450577128369
Spectral	45	7	0.0265675714285714	0.553934218803614
Spectral	46	1	0	0
Spectral	47	1	0	0
Spectral	48	27	0.023133448005698	0.482332699611731
Spectral	49	314	0.0241737253155197	0.504022495402983
Spectral	50	25	0.0258623963666667	0.539231309353038
Spectral	51	1	0	0
Spectral	52	47	0.0239532273265495	0.499425109390627
Spectral	53	99	0.0248386764811381	0.517886736079241
Spectral	54	17	0.0229529830147059	0.478570002141419
Spectral	55	203	0.024031825181193	0.501063875708755
Spectral	56	45	0.0249868559393939	0.520976279761182
Spectral	57	69	0.0235646604177322	0.491323484156746
Spectral	58	2	0.0134771	0.280997714838538
Spectral	59	50	0.0245334026367347	0.511521772349852
Spectral	60	1	0	0
Spectral	61	2	0.00501253	0.104511317387243
Spectral	62	70	0.0231329531138716	0.482322381110546
Spectral	63	1	0	0
Spectral	64	3	0.0232927333333333	0.485653800818433
Spectral	65	24	0.0238233479347826	0.496717122339176
Spectral	66	1	0	0
Spectral	67	199	0.0236916283721639	0.49397076770091
Spectral	68	78	0.0250234197768898	0.521738636260879
Spectral	69	1	0	0
Spectral	70	1	0	0
Spectral	71	1	0	0
Spectral	72	40	0.0232591402948718	0.484953385518244
Spectral	73	2	0.015	0.312750200160128
Spectral	74	62	0.023637884643046	0.492850210231643
Spectral	75	2	0.0187793	0.39154865559114
Spectral	76	1	0	0
Spectral	77	13	0.0249486867948718	0.520180452588566
Spectral	78	2	0.026455	0.551587103015746
Spectral	79	1	0	0
Spectral	80	2	0.0268949	0.560759023885775
Spectral	81	1	0	0
Spectral	82	1	0	0
Spectral	83	1	0	0
Spectral	84	1	0	0
Spectral	85	75	0.0248932797945946	0.519025215893436
Spectral	86	1	0	0
Spectral	87	2	0.0203562	0.424427041633307
Spectral	88	241	0.0237905557804285	0.496033405483313
Spectral	89	81	0.0241978712222223	0.504525937879935
Spectral	90	1	0	0
Spectral	91	1	0	0
Spectral	92	75	0.0228289665909909	0.475984258052086
Spectral	93	130	0.0238171317793681	0.496587515415835
Spectral	94	29	0.0238302201231527	0.496860407558395
