Disease	N	mean_ds	SD_ds
AD	388	1.23453608247423	0.447956071624823
BD	188	1.53723404255319	0.550834863217137
AUT	153	1.5359477124183	0.573839146162995
SCH	535	1.26542056074766	0.4586053609636
ASD	154	1.52597402597403	0.573921858770456
Epi	228	1.44298245614035	0.548360680404973
ID	159	1.62264150943396	0.570134841734596
HTN	195	1.42564102564103	0.516090552230939
HD	58	1.5	0.53802758684897
PD	167	1.49101796407186	0.558270386977988
FTD	102	1.49019607843137	0.62529356336085
MS	134	1.50746268656716	0.597567357473231
